portfolioName(string),index(int option),yearMonth(date),ret(float)
Mine,1,2003-04-01T00:00:00.0000000,0.08815430673350924
Mine,2,2003-04-01T00:00:00.0000000,0.08936824355791104
Mine,3,2003-04-01T00:00:00.0000000,0.067453988254204
Mine,1,2003-05-01T00:00:00.0000000,0.07678299647086012
Mine,2,2003-05-01T00:00:00.0000000,0.05843642320296052
Mine,3,2003-05-01T00:00:00.0000000,0.04655150971587283
Mine,1,2003-06-01T00:00:00.0000000,0.017245867479005663
Mine,2,2003-06-01T00:00:00.0000000,0.007969805872225223
Mine,3,2003-06-01T00:00:00.0000000,0.02288600470220963
Mine,1,2003-07-01T00:00:00.0000000,0.03441186033151777
Mine,2,2003-07-01T00:00:00.0000000,0.015423145892250727
Mine,3,2003-07-01T00:00:00.0000000,0.017298729937325244
Mine,1,2003-08-01T00:00:00.0000000,0.033156334128897416
Mine,2,2003-08-01T00:00:00.0000000,0.021831225963504564
Mine,3,2003-08-01T00:00:00.0000000,0.020176381209921664
Mine,1,2003-09-01T00:00:00.0000000,-0.019661301824671094
Mine,2,2003-09-01T00:00:00.0000000,-0.007805024803841701
Mine,3,2003-09-01T00:00:00.0000000,-0.010690133919538491
Mine,1,2003-10-01T00:00:00.0000000,0.07058602100727393
Mine,2,2003-10-01T00:00:00.0000000,0.05383708552233388
Mine,3,2003-10-01T00:00:00.0000000,0.06217771272442655
Mine,1,2003-11-01T00:00:00.0000000,0.024690321518840215
Mine,2,2003-11-01T00:00:00.0000000,0.0033110362733325916
Mine,3,2003-11-01T00:00:00.0000000,0.020563285970681675
Mine,1,2003-12-01T00:00:00.0000000,0.04389044164229136
Mine,2,2003-12-01T00:00:00.0000000,0.04948859600876838
Mine,3,2003-12-01T00:00:00.0000000,0.04074105527376842
Mine,1,2004-01-01T00:00:00.0000000,0.021462794440878587
Mine,2,2004-01-01T00:00:00.0000000,0.02311340607245691
Mine,3,2004-01-01T00:00:00.0000000,0.010595003425581565
Mine,1,2004-02-01T00:00:00.0000000,0.00015824464472937567
Mine,2,2004-02-01T00:00:00.0000000,0.021185564840238924
Mine,3,2004-02-01T00:00:00.0000000,0.02110042342954306
Mine,1,2004-03-01T00:00:00.0000000,-0.025522541921842536
Mine,2,2004-03-01T00:00:00.0000000,-0.01400612323854576
Mine,3,2004-03-01T00:00:00.0000000,0.004057069210241833
Mine,1,2004-04-01T00:00:00.0000000,-0.022402641292079806
Mine,2,2004-04-01T00:00:00.0000000,-0.020528757203165604
Mine,3,2004-04-01T00:00:00.0000000,-0.0185631757493676
